Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-06-25,1.4,1.4,1.4,1.4
2018-06-26,1.4,1.4,1.4,1.4
2018-06-27,1.4,1.4,1.4,1.4
2018-06-28,1.4,1.4,1.4,1.4
2018-06-29,1.4,1.4,1.4,1.4
2018-07-02,1.4,1.4,1.4,1.4
2018-07-03,1.4,1.4,1.4,1.4
2018-07-04,1.4,1.4,1.4,1.4
2018-07-05,1.4,1.4,1.4,1.4
2018-07-06,1.4,1.4,1.4,1.4
2018-07-09,1.4,1.4,1.4,1.4
2018-07-10,1.4,1.4,1.4,1.4
2018-07-11,1.4,1.4,1.4,1.4
2018-07-12,1.4,1.4,1.4,1.4
2018-07-13,1.4,1.4,1.4,1.4
2018-07-16,1.4,1.4,1.4,1.4
2018-07-17,1.4,1.4,1.4,1.4
2018-07-18,1.4,1.4,1.4,1.4
2018-07-19,1.4,1.4,1.4,1.4
2018-07-20,1.4,1.4,1.4,1.4
2018-07-23,1.39,1.39,1.39,1.39
2018-07-24,1.39,1.39,1.39,1.39
2018-07-25,1.39,1.39,1.39,1.39
2018-07-26,1.39,1.39,1.39,1.39
2018-07-27,1.39,1.39,1.39,1.39
2018-07-30,1.39,1.39,1.39,1.39
2018-07-31,1.39,1.39,1.39,1.39
2018-08-01,1.4,1.4,1.4,1.4
2018-08-02,1.4,1.4,1.4,1.4
2018-08-03,1.4,1.4,1.4,1.4
2018-08-06,1.4,1.4,1.4,1.4
2018-08-07,1.4,1.4,1.4,1.4
2018-08-08,1.4,1.4,1.4,1.4
2018-08-09,1.4,1.4,1.4,1.4
2018-08-10,1.4,1.4,1.4,1.4
2018-08-13,1.4,1.4,1.4,1.4
2018-08-14,1.4,1.4,1.4,1.4
2018-08-16,1.4,1.4,1.4,1.4
2018-08-17,1.4,1.4,1.4,1.4
2018-08-20,1.4,1.4,1.4,1.4
2018-08-21,1.4,1.4,1.4,1.4
2018-08-22,1.4,1.4,1.4,1.4
2018-08-23,1.4,1.4,1.4,1.4
2018-08-24,1.4,1.4,1.4,1.4
2018-08-27,1.4,1.4,1.4,1.4
2018-08-28,1.4,1.4,1.4,1.4
2018-08-29,1.4,1.4,1.4,1.4
2018-08-30,1.4,1.4,1.4,1.4
2018-08-31,1.4,1.4,1.4,1.4
2018-09-03,1.4,1.4,1.4,1.4
2018-09-04,1.4,1.4,1.4,1.4
2018-09-05,1.4,1.4,1.4,1.4
2018-09-06,1.4,1.4,1.4,1.4
2018-09-07,1.4,1.4,1.4,1.4
2018-09-10,1.4,1.4,1.4,1.4
2018-09-11,1.4,1.4,1.4,1.4
2018-09-12,1.4,1.4,1.4,1.4
2018-09-13,1.4,1.4,1.4,1.4
2018-09-14,1.4,1.4,1.4,1.4
2018-09-17,1.39,1.39,1.39,1.39
2018-09-18,1.39,1.39,1.39,1.39
2018-09-19,1.39,1.39,1.39,1.39
2018-09-20,1.39,1.39,1.39,1.39
2018-09-21,1.39,1.39,1.39,1.39
2018-09-24,1.4,1.4,1.4,1.4
2018-09-25,1.4,1.4,1.4,1.4
2018-09-26,1.4,1.4,1.4,1.4
2018-09-27,1.4,1.4,1.4,1.4
2018-09-28,1.4,1.4,1.4,1.4
2018-10-01,1.4,1.4,1.4,1.4
2018-10-02,1.4,1.4,1.4,1.4
2018-10-03,1.4,1.4,1.4,1.4
2018-10-04,1.4,1.4,1.4,1.4
2018-10-05,1.4,1.4,1.4,1.4
2018-10-08,1.4,1.4,1.4,1.4
2018-10-09,1.4,1.4,1.4,1.4
2018-10-10,1.4,1.4,1.4,1.4
2018-10-11,1.4,1.4,1.4,1.4
2018-10-12,1.4,1.4,1.4,1.4
2018-10-15,1.4,1.4,1.4,1.4
2018-10-16,1.4,1.4,1.4,1.4
2018-10-17,1.4,1.4,1.4,1.4
2018-10-18,1.4,1.4,1.4,1.4
2018-10-19,1.4,1.4,1.4,1.4
2018-10-22,1.39,1.39,1.39,1.39
2018-10-23,1.39,1.39,1.39,1.39
2018-10-24,1.39,1.39,1.39,1.39
2018-10-25,1.39,1.39,1.39,1.39
2018-10-26,1.39,1.39,1.39,1.39
2018-10-29,1.39,1.39,1.39,1.39
2018-10-30,1.39,1.39,1.39,1.39
2018-10-31,1.4,1.4,1.4,1.4
2018-11-02,1.4,1.4,1.4,1.4
2018-11-05,1.4,1.4,1.4,1.4
2018-11-06,1.4,1.4,1.4,1.4
2018-11-07,1.4,1.4,1.4,1.4
2018-11-08,1.4,1.4,1.4,1.4
