Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-03-15,1.44,1.44,1.44,1.44
2018-03-16,1.44,1.44,1.44,1.44
2018-03-19,1.44,1.44,1.44,1.44
2018-03-20,1.44,1.44,1.44,1.44
2018-03-21,1.44,1.44,1.44,1.44
2018-03-22,1.44,1.44,1.44,1.44
2018-03-23,1.44,1.44,1.44,1.44
2018-03-26,1.44,1.44,1.44,1.44
2018-03-27,1.44,1.44,1.44,1.44
2018-03-28,1.44,1.44,1.44,1.44
2018-03-29,1.44,1.44,1.44,1.44
2018-03-30,1.44,1.44,1.44,1.44
2018-04-03,1.44,1.44,1.44,1.44
2018-04-04,1.44,1.44,1.44,1.44
2018-04-05,1.44,1.44,1.44,1.44
2018-04-06,1.44,1.44,1.44,1.44
2018-04-09,1.44,1.44,1.44,1.44
2018-04-10,1.44,1.44,1.44,1.44
2018-04-11,1.44,1.44,1.44,1.44
2018-04-12,1.44,1.44,1.44,1.44
2018-04-13,1.44,1.44,1.44,1.44
2018-04-16,1.44,1.44,1.44,1.44
2018-04-17,1.44,1.44,1.44,1.44
2018-04-18,1.44,1.44,1.44,1.44
2018-04-19,1.44,1.44,1.44,1.44
2018-04-20,1.44,1.44,1.44,1.44
2018-04-23,1.44,1.44,1.44,1.44
2018-04-24,1.44,1.44,1.44,1.44
2018-04-25,1.44,1.44,1.44,1.44
2018-04-26,1.44,1.44,1.44,1.44
2018-04-27,1.44,1.44,1.44,1.44
2018-04-30,1.44,1.44,1.44,1.44
2018-05-02,1.44,1.44,1.44,1.44
2018-05-04,1.44,1.44,1.44,1.44
2018-05-07,1.44,1.44,1.44,1.44
2018-05-08,1.44,1.44,1.44,1.44
2018-05-09,1.44,1.44,1.44,1.44
2018-05-10,1.44,1.44,1.44,1.44
2018-05-11,1.44,1.44,1.44,1.44
2018-05-14,1.44,1.44,1.44,1.44
2018-05-15,1.44,1.44,1.44,1.44
2018-05-16,1.44,1.44,1.44,1.44
2018-05-17,1.44,1.44,1.44,1.44
2018-05-18,1.44,1.44,1.44,1.44
2018-05-21,1.44,1.44,1.44,1.44
2018-05-22,1.44,1.44,1.44,1.44
2018-05-23,1.44,1.44,1.44,1.44
2018-05-24,1.44,1.44,1.44,1.44
2018-05-25,1.44,1.44,1.44,1.44
2018-05-28,1.44,1.44,1.44,1.44
2018-05-29,1.44,1.44,1.44,1.44
