Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,1.61,1.61,1.61,1.61
2018-01-03,1.61,1.61,1.61,1.61
2018-01-04,1.61,1.61,1.61,1.61
2018-01-05,1.61,1.61,1.61,1.61
2018-01-08,1.61,1.61,1.61,1.61
2018-01-09,1.61,1.61,1.61,1.61
2018-01-10,1.61,1.61,1.61,1.61
2018-01-11,1.61,1.61,1.61,1.61
2018-01-12,1.61,1.61,1.61,1.61
2018-01-15,1.61,1.61,1.61,1.61
2018-01-16,1.61,1.61,1.61,1.61
2018-01-17,1.61,1.61,1.61,1.61
2018-01-18,1.61,1.61,1.61,1.61
2018-01-19,1.61,1.61,1.61,1.61
2018-01-22,1.61,1.61,1.61,1.61
2018-01-23,1.61,1.61,1.61,1.61
2018-01-24,1.61,1.61,1.61,1.61
2018-01-25,1.61,1.61,1.61,1.61
2018-01-26,1.61,1.61,1.61,1.61
2018-01-29,1.61,1.61,1.61,1.61
2018-01-30,1.61,1.61,1.61,1.61
2018-01-31,1.61,1.61,1.61,1.61
2018-02-01,1.61,1.61,1.61,1.61
2018-02-02,1.61,1.61,1.61,1.61
2018-02-05,1.61,1.61,1.61,1.61
2018-02-06,1.61,1.61,1.61,1.61
2018-02-07,1.61,1.61,1.61,1.61
2018-02-08,1.61,1.61,1.61,1.61
2018-02-09,1.61,1.61,1.61,1.61
2018-02-12,1.61,1.61,1.61,1.61
2018-02-13,1.61,1.61,1.61,1.61
2018-02-14,1.61,1.61,1.61,1.61
2018-02-15,1.61,1.61,1.61,1.61
2018-02-16,1.61,1.61,1.61,1.61
2018-02-19,1.61,1.61,1.61,1.61
2018-02-20,1.61,1.61,1.61,1.61
2018-02-21,1.61,1.61,1.61,1.61
2018-02-22,1.61,1.61,1.61,1.61
2018-02-23,1.61,1.61,1.61,1.61
2018-02-26,1.61,1.61,1.61,1.61
2018-02-27,1.61,1.61,1.61,1.61
2018-02-28,1.61,1.61,1.61,1.61
2018-03-01,1.61,1.61,1.61,1.61
2018-03-02,1.61,1.61,1.61,1.61
2018-03-05,1.61,1.61,1.61,1.61
2018-03-06,1.61,1.61,1.61,1.61
2018-03-07,1.61,1.61,1.61,1.61
2018-03-08,1.6,1.6,1.6,1.6
2018-03-09,1.6,1.6,1.6,1.6
2018-03-12,1.59,1.59,1.59,1.59
2018-03-13,1.59,1.59,1.59,1.59
2018-03-14,1.59,1.59,1.59,1.59
2018-03-15,1.58,1.58,1.58,1.58
2018-03-16,1.58,1.58,1.58,1.58
2018-03-19,1.58,1.58,1.58,1.58
2018-03-20,1.58,1.58,1.58,1.58
2018-03-21,1.58,1.58,1.58,1.58
2018-03-22,1.58,1.58,1.58,1.58
2018-03-23,1.58,1.58,1.58,1.58
2018-03-26,1.58,1.58,1.58,1.58
2018-03-27,1.58,1.58,1.58,1.58
2018-03-28,1.58,1.58,1.58,1.58
2018-03-29,1.58,1.58,1.58,1.58
2018-03-30,1.58,1.58,1.58,1.58
2018-04-03,1.58,1.58,1.58,1.58
2018-04-04,1.58,1.58,1.58,1.58
2018-04-05,1.58,1.58,1.58,1.58
2018-04-06,1.58,1.58,1.58,1.58
2018-04-09,1.58,1.58,1.58,1.58
2018-04-10,1.58,1.58,1.58,1.58
